,кол_символов,кол_символов,кол_символов,кол_символов,кол_символов,кол_символов,кол_символов,кол_символов,кол_слов,кол_слов,кол_слов,кол_слов,кол_слов,кол_слов,кол_слов,кол_слов
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
метка,,,,,,,,,,,,,,,,
спам,20.0,119.05,25.726240955184466,66.0,105.0,116.0,127.25,167.0,20.0,16.9,4.32739133768529,10.0,14.0,16.0,18.25,26.0
хам,36.0,56.72222222222222,31.31007241960061,22.0,36.25,49.0,63.75,168.0,36.0,9.472222222222221,5.19607605306219,4.0,6.0,8.0,11.0,26.0
